bairro_resid__estadia,obitos,faixa_etaria_media_dos_contaminados,total_de_casos,mortalidade
VAZ LOBO,16,51.7,76,21,1
VICENTE DE CARVALHO,17,48.5,100,17,0
VIDIGAL,8,47.7,52,15,4
VIGARIO GERAL,14,50.2,114,12,3
VILA DA PENHA,18,50.1,177,10,2
VILA ISABEL,62,53.1,527,11,8
VILA KENNEDY,12,57.8,25,48,0
VILA KOSMOS,8,53.3,66,12,1
VILA MILITAR,4,45.5,22,18,2
VILA VALQUEIRE,21,49.9,221,9,5
VISTA ALEGRE,12,50.8,59,20,3
ZUMBI,3,50.0,14,21,4
