bairro_resid__estadia,óbitos,faixa_etaria_media_dos_contaminados,total_de_casos,mortalidade,renda_per_capita,,,
RECREIO DOS BANDEIRANTES,51,48.5,652,7.8, 2 918.19,,,
RIACHUELO,9,63.1,125,7.2, 1 122.58,,,
RIBEIRA,4,59.6,26,15.4, 1 232.26,,,
RICARDO ALBUQUERQUE,7,49.0,98,7.1,  577.55,,,
RIO COMPRIDO,37,53.6,298,12.4, 1 418.24,,,
ROCHA,9,63.2,109,8.3, 1 122.58,,,
ROCHA MIRANDA,28,50.1,172,16.3,  846.46,,,
ROCINHA,47,52.3,230,20.4,  455.67,,,
SAMPAIO,8,49.4,63,12.7, 1 122.58,,,
SANTA CRUZ,139,48.5,652,21.3,  509.71,,,
SANTA TERESA,29,49.8,147,19.7, 1 281.08,,,
SANTISSIMO,33,49.3,178,18.5,  613.97,,,
SANTO CRISTO,12,48.1,65,18.5,  505.50,,,
SAO CONRADO,9,54.3,136,6.6, 3 054.83,,,
SAO CRISTOVAO,48,54.8,264,18.2,  851.89,,,
SAO FRANCISCO XAVIER,5,52.5,40,12.5, 1 122.58,,,
SAUDE,0,36.1,10,0.0,  505.50,,,
SENADOR CAMARA,56,49.6,318,17.6,  572.69,,,
SENADOR VASCONCELOS,22,47.2,123,17.9,  661.66,,,
SEPETIBA,18,55.1,146,12.3,  506.16,,,
TANQUE,23,51.3,155,14.8, 1 020.04,,,
TAQUARA,73,50.4,565,12.9, 1 154.20,,,
TAUA,16,53.8,103,15.5,  901.68,,,
TIJUCA,126,54.4,1351,9.3, 3 023.42,,,
TODOS OS SANTOS,7,52.2,164,4.3, 2 098.82,,,
TOMAS COELHO,10,49.5,76,13.2,  791.92,,,
TURIACU,7,52.1,65,10.8,  788.18,,,
VARGEM GRANDE,3,45.9,76,3.9,  943.58,,,
VARGEM PEQUENA,11,49.6,82,13.4,  943.58,,,
VASCO DA GAMA,2,50.0,14,14.3,  851.89,,,
VAZ LOBO,16,51.7,76,21.1,  788.18,,,
VICENTE DE CARVALHO,17,48.5,100,17.0,  887.90,,,
VIDIGAL,8,47.7,52,15.4, 3 054.83,,,
VIGARIO GERAL,14,50.2,114,12.3,  508.27,,,
VILA DA PENHA,18,50.1,177,10.2, 1 615.80,,,
VILA ISABEL,62,53.1,527,11.8, 2 105.87,,,
VILA KOSMOS,8,53.3,66,12.1,  887.90,,,
VILA MILITAR,4,45.5,22,18.2, 1 279.35,,,
VILA VALQUEIRE,21,49.9,221,9.5, 1 563.04,,,
VISTA ALEGRE,12,50.8,59,20.3, 1 099.34,,,
ZUMBI,3,50.0,14,21.4, 1 232.26,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
